가맹점구분번호,가맹점주소,가맹점명,가맹점지역,업종,상권,가맹점 운영개월수 구간,매출금액 구간,매출건수 구간,유니크 고객 수 구간,객단가 구간,취소율 구간,배달매출금액 비율,동일 업종 매출금액 비율,동일 업종 매출건수 비율,동일 업종 내 매출 순위 비율,동일 상권 내 매출 순위 비율,남성 20대이하 고객 비중,남성 30대 고객 비중,남성 40대 고객 비중,남성 50대 고객 비중,남성 60대이상 고객 비중,여성 20대이하 고객 비중,여성 30대 고객 비중,여성 40대 고객 비중,여성 50대 고객 비중,여성 60대이상 고객 비중,재방문 고객 비중,신규 고객 비중,거주 이용 고객 비율,직장 이용 고객 비율,유동인구 이용 고객 비율
04393D7C92,서울특별시 성동구 왕십리로 357,왕십*****,서울 성동구,한식-육류/고기,왕십리,3,4,4,4,3,1,32.34583333333333,35.02916666666667,23.795833333333334,44.07083333333333,0.0,11.036720833333334,13.466316666666666,8.727045833333333,11.835141666666665,4.277770833333333,11.488279166666667,13.758683333333332,8.835454166666667,12.119025,4.476395833333333,24.6425,5.507916666666667,65.81666666666666,8.545833333333333,25.629166666666666
0507C6C859,서울특별시 성동구 금호로 148-1,가띠**,서울 성동구,샌드위치/토스트,신금호,5,5,4,4,4,3,56.064705882352946,24.129411764705882,48.3,57.73529411764706,59.129411764705885,6.8155882352941175,9.8837,5.951211764705882,2.6832529411764705,1.2384117647058823,18.819705882352938,27.581005882352944,16.295847058823533,7.299099999999999,3.4380588235294116,25.474117647058822,18.94294117647059,53.21764705882353,8.617647058823529,38.15882352941176
099CBF2425,서울특별시 성동구 무학봉15길 26-1,한사**********,서울 성동구,한식-단품요리일반,왕십리,4,5,5,5,4,1,95.9,11.125,11.2,56.75,58.075,10.662225,18.634325,12.260525,16.462825,5.5356000000000005,6.162775,10.715675000000001,6.964475,9.462175,3.1894,26.895,4.325,57.625,6.35,36.025
099CE5DB1F,서울특별시 성동구 마조로3길 10,바*,서울 성동구,한식-육류/고기,한양대,6,3,4,4,2,2,0.0,106.325,59.175,56.2,68.675,33.91225,17.616525,6.068275,8.0185,2.03745,15.73775,8.508475,2.856725,4.1315,1.11255,9.9775,59.1725,32.15,5.05,62.800000000000004
09B5A19D91,서울특별시 성동구 독서당로 285,금남**************,서울 성동구,와인바,금남시장,3,3,5,5,1,1,0.0,71.76666666666667,25.408333333333335,19.3125,19.041666666666668,4.7192375,27.272299999999998,8.6532625,2.1414583333333335,1.3372875,5.989095833333334,34.681866666666664,10.742570833333334,2.741875,1.7085458333333332,8.17375,7.353333333333334,32.50833333333333,2.4625000000000004,65.03333333333333
0EE4BD7D7A,서울 성동구 아차산로7길 36.,오*,서울 성동구,카페,성수,3,4,3,3,5,2,4.066666666666666,78.92916666666666,82.4125,20.1625,0.0,9.348808333333332,11.0418625,7.361999999999999,3.8782000000000005,2.375379166666667,18.588691666666666,21.474804166666665,14.121333333333332,7.530133333333333,4.257954166666667,30.270416666666662,7.012083333333333,26.1625,30.891666666666666,42.9375
104031A6C2,서울특별시 성동구 마장로37길 53,한일**,서울 성동구,축산물,마장동,4,5,6,6,4,4,0.0,24.835294117647056,1.8235294117647058,43.523529411764706,40.38235294117647,0.37385882352941174,2.531688235294118,9.979682352941177,22.7434,12.28794705882353,0.9908470588235294,3.391841176470588,9.102670588235295,24.644835294117648,13.959111764705883,11.255294117647058,6.027647058823529,5.741176470588234,0.0,35.435294117647054
132EC808F2,서울특별시 성동구 무학봉28길 3,59****,서울 성동구,한식-육류/고기,왕십리,4,3,4,4,2,1,0.0,113.87083333333334,56.837500000000006,14.341666666666665,22.466666666666665,10.058079166666666,14.139666666666667,9.223241666666667,19.0386375,12.075691666666666,5.5044208333333335,7.660333333333333,5.068425,10.569695833333334,6.678475000000001,19.72375,5.904166666666667,56.354166666666664,5.920833333333333,37.72083333333333
150889572A,서울특별시 성동구 왕십리로10길 9-31,스트*****,서울 성동구,베이커리,뚝섬,4,5,5,5,6,4,0.0,10.333333333333334,17.395833333333332,66.54166666666667,54.72083333333333,10.372495833333334,8.161870833333333,3.1406125,1.1629666666666667,0.23861666666666664,25.13167083333333,19.725629166666668,7.792720833333334,2.870366666666667,0.5738833333333333,9.2725,3.6345833333333335,4.7875,3.629166666666667,24.920833333333334
1521FF7269,서울특별시 성동구 왕십리로 410,강릉***************,서울 성동구,한식-해물/생선,왕십리,5,4,4,4,3,2,74.28095238095239,56.69047619047619,48.84285714285714,29.33809523809524,0.0,11.189195238095238,14.204923809523809,10.0645,9.586109523809524,5.324471428571428,11.134614285714285,13.947457142857143,9.859309523809523,9.413890476190476,5.289814285714286,11.688095238095238,7.353809523809525,32.88095238095238,7.890476190476191,59.24285714285715
